sample,timestamp_us,raw,voltage_V
0,89,15200,1.900000
1,406,14928,1.866000
2,723,14272,1.784000
3,1039,13712,1.714000
4,1356,13472,1.684000
5,1673,13568,1.696000
6,1990,14016,1.752000
7,2307,14256,1.782000
8,2624,14112,1.764000
9,2941,13760,1.720000
10,3258,13584,1.698000
11,3574,13440,1.680000
12,3891,13392,1.674000
13,4208,13344,1.668000
14,4525,13088,1.636000
15,4842,12656,1.582000
16,5159,12416,1.552000
17,5476,12336,1.542000
18,5792,12848,1.606000
19,6109,13264,1.658000
20,6426,13408,1.676000
21,6743,13024,1.628000
22,7060,12304,1.538000
23,7377,11520,1.440000
24,7694,11536,1.442000
25,8010,11952,1.494000
26,8327,12688,1.586000
27,8644,13280,1.660000
28,8961,13344,1.668000
29,9278,13008,1.626000
30,9595,12480,1.560000
31,9912,12112,1.514000
32,10228,12288,1.536000
33,10545,12656,1.582000
34,10862,13136,1.642000
35,11179,13360,1.670000
36,11496,13376,1.672000
37,11813,13328,1.666000
38,12129,13472,1.684000
39,12447,13712,1.714000
40,12763,13904,1.738000
41,13080,13920,1.740000
42,13397,13712,1.714000
43,13714,13472,1.684000
44,14030,13488,1.686000
45,14347,13920,1.740000
46,14664,14496,1.812000
47,14981,15024,1.878000
48,15298,15040,1.880000
49,15615,14608,1.826000
50,15931,13888,1.736000
51,16249,13408,1.676000
52,16566,13552,1.694000
53,16882,14128,1.766000
54,17199,14688,1.836000
55,17516,15056,1.882000
56,17833,14800,1.850000
57,18150,14160,1.770000
58,18467,13696,1.712000
59,18783,13472,1.684000
60,19100,13280,1.660000
61,19417,13680,1.710000
62,19734,13728,1.716000
63,20051,13632,1.704000
64,20368,13328,1.666000
65,20688,13296,1.662000
66,21002,13360,1.670000
67,21319,13344,1.668000
68,21635,13296,1.662000
69,21952,12912,1.614000
70,22269,12400,1.550000
71,22586,12000,1.500000
72,22903,12032,1.504000
73,23220,12752,1.594000
74,23536,13088,1.636000
75,23854,13168,1.646000
76,24170,13136,1.642000
77,24487,12464,1.558000
78,24804,11824,1.478000
79,25121,11936,1.492000
80,25438,11920,1.490000
81,25755,12512,1.564000
82,26071,13216,1.652000
83,26388,13360,1.670000
84,26705,13200,1.650000
85,27022,12816,1.602000
86,27338,12736,1.592000
87,27656,12720,1.590000
88,27972,13120,1.640000
89,28289,13296,1.662000
90,28606,13344,1.668000
91,28923,13392,1.674000
92,29240,13488,1.686000
93,29556,13808,1.726000
94,29874,14304,1.788000
95,30191,14480,1.810000
96,30507,14352,1.794000
97,30824,13936,1.742000
98,31141,13520,1.690000
99,31458,13408,1.676000
100,31775,13808,1.726000
101,32091,14432,1.804000
102,32409,15136,1.892000
103,32726,15248,1.906000
