sample,timestamp_us,raw,voltage_V
0,119,9568,1.196000
1,436,9664,1.208000
2,753,9744,1.218000
3,1069,9792,1.224000
4,1386,9920,1.240000
5,1703,10144,1.268000
6,2020,10400,1.300000
7,2337,10704,1.338000
8,2653,11056,1.382000
9,2971,11360,1.420000
10,3288,11840,1.480000
11,3604,12272,1.534000
12,3921,12656,1.582000
13,4238,13120,1.640000
14,4555,13568,1.696000
15,4871,13952,1.744000
16,5189,14448,1.806000
17,5505,14912,1.864000
18,5822,15248,1.906000
19,6139,15648,1.956000
20,6456,15984,1.998000
21,6773,16288,2.036000
22,7089,16496,2.062000
23,7407,16704,2.088000
24,7723,17024,2.128000
25,8040,17056,2.132000
26,8357,17120,2.140000
27,8674,17088,2.136000
28,8990,16976,2.122000
29,9308,17008,2.126000
30,9624,16864,2.108000
31,9941,16624,2.078000
32,10258,16384,2.048000
33,10575,16096,2.012000
34,10892,15744,1.968000
35,11209,15440,1.930000
36,11525,14992,1.874000
37,11842,14624,1.828000
38,12159,14144,1.768000
39,12476,13712,1.714000
40,12793,13312,1.664000
41,13110,12896,1.612000
42,13427,12368,1.546000
43,13744,11968,1.496000
44,14060,11616,1.452000
45,14377,11216,1.402000
46,14694,10880,1.360000
47,15010,10512,1.314000
48,15328,10288,1.286000
49,15645,9936,1.242000
50,15961,9904,1.238000
51,16278,9744,1.218000
52,16595,9600,1.200000
53,16912,9600,1.200000
54,17229,9648,1.206000
55,17546,9760,1.220000
56,17863,9920,1.240000
57,18180,10048,1.256000
58,18496,10256,1.282000
59,18813,10576,1.322000
60,19130,10864,1.358000
61,19447,11136,1.392000
62,19764,11616,1.452000
63,20080,12016,1.502000
64,20398,12512,1.564000
65,20714,12832,1.604000
66,21031,13296,1.662000
67,21348,13760,1.720000
68,21665,14224,1.778000
69,21982,14640,1.830000
70,22299,15024,1.878000
71,22616,15424,1.928000
72,22932,15792,1.974000
73,23249,16112,2.014000
74,23566,16384,2.048000
75,23883,16608,2.076000
76,24200,16848,2.106000
77,24516,16992,2.124000
78,24833,17072,2.134000
79,25150,17120,2.140000
80,25467,17088,2.136000
81,25784,17088,2.136000
82,26101,16928,2.116000
83,26417,16704,2.088000
84,26734,16464,2.058000
85,27052,16240,2.030000
86,27368,15968,1.996000
87,27685,15632,1.954000
88,28002,15264,1.908000
89,28319,14880,1.860000
90,28636,14400,1.800000
91,28952,13984,1.748000
92,29269,13536,1.692000
93,29586,13136,1.642000
94,29903,12656,1.582000
95,30220,12208,1.526000
96,30537,11856,1.482000
97,30853,11424,1.428000
98,31171,11024,1.378000
99,31487,10688,1.336000
100,31804,10432,1.304000
101,32120,10096,1.262000
102,32438,9920,1.240000
103,32755,9776,1.222000
104,33072,9632,1.204000
105,33389,9632,1.204000
106,33705,9664,1.208000
107,34022,9632,1.204000
108,34339,9744,1.218000
109,34656,10000,1.250000
110,34972,10064,1.258000
111,35289,10336,1.292000
112,35606,10688,1.336000
113,35923,11008,1.376000
114,36240,11264,1.408000
115,36557,11728,1.466000
116,36874,12128,1.516000
117,37190,12608,1.576000
118,37508,12992,1.624000
119,37824,13440,1.680000
120,38141,13968,1.746000
121,38458,14288,1.786000
122,38775,14752,1.844000
123,39092,15200,1.900000
124,39409,15648,1.956000
125,39725,15920,1.990000
126,40042,16240,2.030000
127,40359,16512,2.064000
128,40676,16672,2.084000
129,40993,16880,2.110000
130,41310,17024,2.128000
131,41627,17088,2.136000
132,41943,17168,2.146000
133,42261,17088,2.136000
134,42577,17040,2.130000
135,42894,16912,2.114000
136,43211,16640,2.080000
137,43528,16384,2.048000
138,43845,16192,2.024000
139,44161,15808,1.976000
140,44478,15488,1.936000
141,44795,15120,1.890000
142,45112,14704,1.838000
143,45429,14256,1.782000
144,45746,13792,1.724000
145,46062,13328,1.666000
146,46380,12944,1.618000
147,46696,12432,1.554000
148,47013,12112,1.514000
149,47330,11616,1.452000
150,47647,11264,1.408000
151,47964,10912,1.364000
152,48281,10592,1.324000
153,48598,10288,1.286000
154,48914,10016,1.252000
155,49231,9760,1.220000
156,49548,9712,1.214000
157,49865,9680,1.210000
158,50182,9600,1.200000
159,50499,9600,1.200000
160,50816,9680,1.210000
161,51132,9840,1.230000
162,51449,10016,1.252000
163,51766,10240,1.280000
164,52083,10448,1.306000
165,52400,10768,1.346000
166,52717,11120,1.390000
167,53033,11520,1.440000
168,53350,11904,1.488000
169,53667,12336,1.542000
170,53984,12816,1.602000
171,54301,13216,1.652000
172,54618,13632,1.704000
173,54934,14096,1.762000
174,55252,14512,1.814000
175,55568,14944,1.868000
176,55886,15376,1.922000
177,56201,15680,1.960000
178,56519,16000,2.000000
179,56836,16352,2.044000
180,57152,16624,2.078000
181,57470,16816,2.102000
182,57786,16928,2.116000
183,58103,17088,2.136000
184,58419,17120,2.140000
185,58737,17152,2.144000
186,59054,17024,2.128000
187,59371,16944,2.118000
188,59687,16784,2.098000
189,60004,16592,2.074000
190,60321,16336,2.042000
191,60638,15968,1.996000
192,60955,15728,1.966000
193,61272,15296,1.912000
194,61588,14976,1.872000
195,61905,14512,1.814000
196,62222,14080,1.760000
197,62539,13616,1.702000
198,62856,13200,1.650000
199,63173,12704,1.588000
200,63490,12304,1.538000
201,63806,11920,1.490000
202,64123,11456,1.432000
203,64440,11104,1.388000
204,64757,10800,1.350000
205,65074,10464,1.308000
206,65391,10192,1.274000
207,65708,10000,1.250000
208,66024,9824,1.228000
209,66341,9712,1.214000
210,66658,9616,1.202000
211,66976,9648,1.206000
212,67292,9600,1.200000
213,67609,9712,1.214000
214,67926,9888,1.236000
215,68243,10016,1.252000
216,68559,10352,1.294000
217,68876,10592,1.324000
218,69193,10928,1.366000
219,69510,11280,1.410000
220,69827,11680,1.460000
221,70144,12016,1.502000
222,70460,12512,1.564000
223,70777,12944,1.618000
224,71094,13376,1.672000
225,71411,13808,1.726000
226,71728,14320,1.790000
227,72045,14752,1.844000
228,72362,15136,1.892000
229,72679,15472,1.934000
230,72995,15840,1.980000
231,73312,16160,2.020000
232,73629,16480,2.060000
233,73946,16656,2.082000
234,74263,16832,2.104000
235,74580,16976,2.122000
236,74897,17088,2.136000
237,75214,17120,2.140000
238,75530,17072,2.134000
239,75847,17008,2.126000
240,76163,16880,2.110000
241,76481,16672,2.084000
242,76798,16464,2.058000
243,77114,16144,2.018000
244,77431,15856,1.982000
245,77748,15536,1.942000
246,78064,15120,1.890000
247,78382,14784,1.848000
248,78699,14336,1.792000
249,79015,13968,1.746000
250,79332,13424,1.678000
251,79649,13024,1.628000
252,79966,12608,1.576000
253,80283,12144,1.518000
254,80600,11728,1.466000
255,80916,11248,1.406000
256,81233,10896,1.362000
257,81550,10592,1.324000
258,81867,10336,1.292000
259,82184,10112,1.264000
260,82501,9872,1.234000
261,82818,9728,1.216000
262,83134,9680,1.210000
263,83452,9616,1.202000
264,83768,9616,1.202000
265,84085,9696,1.212000
266,84402,9744,1.218000
267,84719,9904,1.238000
268,85036,10192,1.274000
269,85352,10416,1.302000
270,85670,10704,1.338000
271,85986,11088,1.386000
272,86303,11424,1.428000
273,86620,11824,1.478000
274,86937,12224,1.528000
275,87254,12672,1.584000
276,87571,13152,1.644000
277,87887,13568,1.696000
278,88204,14016,1.752000
279,88521,14400,1.800000
280,88837,14848,1.856000
281,89155,15152,1.894000
282,89472,15616,1.952000
283,89788,16000,2.000000
